order_id;customer_id;order_date;delivery_date;product;category;price;quantity;discount;state;channel;payment_type;return_flag
1;0a71894d-1cb4-48e4-a389-e424edcc5456;09/06/2025;14/06/2025;Magnam;Infantil;57.3;4;16.69;RJ;Site;Pix;Sim
2;a827bb96-4f9d-4d3a-8bb5-772b7ac56466;20/02/2025;22/02/2025;Quasi;Cabelos;369.34;2;10.62;MG;Loja Física;Cartão de Crédito;Sim
3;c333add9-cd1d-4e92-9b8e-cba0c6e0ae6a;27/05/2025;30/05/2025;Quas;Maquiagem;233.01;1;26.24;SC;Site;Cartão de Crédito;Sim
4;96ac8ee1-5d4f-42dc-8ffd-1747342e23f8;05/06/2025;08/06/2025;Labore;Cabelos;72.59;2;9.98;RS;Loja Física;Cartão de Crédito;Sim
5;48977712-afb9-47f9-9ed0-49fbe6a368b2;30/01/2025;03/02/2025;Aperiam;Infantil;60.57;4;47.11;SC;Site;Carteira Digital;Não
6;e307e465-cff2-4477-9ddf-5b79d5e67398;02/02/2025;04/02/2025;Quos;Beleza;138.52;4;22.01;MG;Loja Física;Carteira Digital;Não
7;a7f7ec13-5bc3-4ca1-9c7d-aca5c16ed652;29/03/2025;31/03/2025;Dolore;Pele;457.38;4;9.11;MG;Site;Pix;Sim
8;741c7a13-8b2e-4776-a2a3-3190bdf30195;30/01/2025;03/02/2025;Culpa;Beleza;425.87;4;46.97;SC;Site;Pix;Não
9;829c89e1-0699-4ef2-9e14-4f2557a3db90;30/04/2025;05/05/2025;Eius;Maquiagem;182.91;4;37.37;PR;Site;Carteira Digital;Sim
10;b4b2f380-5e67-4e65-8f2b-041c02cbf6dc;25/05/2025;31/05/2025;Et;Perfumes;37.35;1;38.61;RJ;Loja Física;Pix;Não
11;0280fc02-9168-42bf-bb4a-04fb7169e3f4;07/04/2025;08/04/2025;Eius;Maquiagem;413.27;1;35.57;RS;Loja Física;Cartão de Crédito;Sim
12;879dfda5-d9ec-44a0-af26-97f68ee89257;09/03/2025;17/03/2025;Rem;Infantil;344.36;1;36.48;RS;App;Cartão de Crédito;Sim
13;3466443f-5f5b-4239-b61a-c2e1397bd502;16/05/2025;24/05/2025;Blanditiis;Beleza;275.68;3;5.54;SC;App;Carteira Digital;Não
14;b881b121-73c4-43ac-ae00-1c7f44b3381c;08/02/2025;14/02/2025;Dolorum;Cabelos;314.08;3;37.78;BA;App;Boleto;Não
15;f3f28738-d77e-480f-bebc-8aa01107b5f3;28/02/2025;02/03/2025;Saepe;Infantil;105.77;2;31.22;RJ;Loja Física;Boleto;Sim
16;80e97f96-09e7-47e3-9e8d-6c4208356c5c;27/04/2025;30/04/2025;Voluptatum;Cabelos;225.76;2;26.97;DF;App;Pix;Sim
17;0e501b73-6a36-4b5a-9118-da4ff4b4a21e;13/04/2025;17/04/2025;Enim;Infantil;230.74;4;17.63;BA;Site;Boleto;Sim
18;d3c9f587-4b25-4d98-a1fe-00d240143b24;07/06/2025;12/06/2025;Soluta;Pele;144.74;3;16.16;SC;App;Cartão de Crédito;Sim
19;9e91dab0-2c00-41dc-88db-76d358240e45;09/05/2025;16/05/2025;Asperiores;Maquiagem;163.88;1;13.34;BA;Site;Carteira Digital;Não
20;cfecaec4-4e05-4eed-8123-136a23f411ee;18/06/2025;21/06/2025;Nihil;Infantil;328.15;2;7.24;DF;Site;Pix;Sim
21;deef4602-4277-490a-bcc7-e5b8f6809808;18/03/2025;25/03/2025;Eligendi;Cabelos;327.18;2;19.94;PR;Loja Física;Carteira Digital;Não
22;3dae0dad-450b-4ae0-aa78-2d8cc647ee5f;15/04/2025;22/04/2025;Laboriosam;Pele;364.24;3;11.32;RS;Site;Carteira Digital;Sim
23;18b60554-27db-4cef-a27f-9a1f3d5f827e;05/04/2025;10/04/2025;Sint;Beleza;190.3;1;10.45;RJ;Site;Boleto;Não
24;61a1c63d-35d8-4dde-bf01-5ab9954b47a1;14/01/2025;20/01/2025;Odio;Maquiagem;498.24;2;44.86;RJ;App;Carteira Digital;Não
25;951f574d-983e-4e65-a368-042b599f8eee;11/06/2025;20/06/2025;Expedita;Maquiagem;105.97;2;33.45;PR;Loja Física;Cartão de Crédito;Sim
26;0efc604f-9b23-4a16-83dc-317de809c5cd;08/02/2025;15/02/2025;Placeat;Infantil;497.4;4;35.61;PR;Loja Física;Pix;Sim
27;9cc28c10-6cc4-4b23-8f29-be4a199bbe30;19/04/2025;26/04/2025;Impedit;Pele;202.83;3;12.52;SC;Site;Carteira Digital;Sim
28;2540fef8-fe38-4bca-95b3-16330452a2e8;09/07/2025;18/07/2025;Maxime;Infantil;264.62;4;1.22;PR;Loja Física;Boleto;Sim
29;1f3c6119-c9c9-4503-a696-1de9c9d5acda;08/05/2025;14/05/2025;Accusantium;Infantil;466.31;1;27.64;PR;Loja Física;Boleto;Sim
30;2c0ccadd-3150-42fc-b199-05214f5b8648;23/06/2025;27/06/2025;Deserunt;Pele;156.18;3;8.47;MG;Loja Física;Cartão de Crédito;Não
31;8e37b586-e71e-4651-9371-24c38c0e6faa;02/05/2025;09/05/2025;Veniam;Perfumes;273.61;2;16.13;SP;Site;Pix;Não
32;6a9ea95c-6225-4b84-b380-62b06c36d9f0;24/03/2025;29/03/2025;Nesciunt;Cabelos;150.42;4;45.66;SP;Site;Cartão de Crédito;Sim
33;a3010275-d7b8-4199-b1d4-1ad12f80aaa4;04/02/2025;13/02/2025;Consequatur;Infantil;301.79;2;16.41;DF;Site;Boleto;Sim
34;f978fdfc-579e-42ae-8516-303e8f7cfd09;01/02/2025;06/02/2025;Pariatur;Infantil;172.53;3;6.35;DF;Loja Física;Boleto;Não
35;450f9507-40c5-4878-b3e5-343ddbb3eaeb;14/03/2025;18/03/2025;Quisquam;Maquiagem;54.29;4;20.57;SC;Site;Boleto;Não
36;888ed428-1063-41cf-9bce-c99c6a3659ce;02/07/2025;07/07/2025;Adipisci;Perfumes;217.45;3;21.95;BA;App;Carteira Digital;Sim
37;71cd79cd-d8b7-4c72-8464-5c4b1390efd1;23/02/2025;24/02/2025;Veritatis;Cabelos;482.44;3;21.42;RS;Site;Pix;Sim
38;03375512-169b-4a80-b724-f306d030cc4e;23/06/2025;27/06/2025;Non;Maquiagem;74.12;1;33.01;RS;Loja Física;Boleto;Sim
39;85088021-1afb-4866-9959-bb5a4c7329ad;06/07/2025;13/07/2025;Ipsa;Beleza;386.19;1;17.09;SP;Site;Cartão de Crédito;Sim
40;7927a51f-2797-4022-a1cd-0a031c02f3a8;18/04/2025;20/04/2025;Nisi;Pele;490.37;1;23.71;RJ;Loja Física;Boleto;Não
41;7e3c9ca9-23de-44c2-84d3-bf5c50d6eb75;22/06/2025;25/06/2025;Inventore;Infantil;233.91;3;2.4;DF;Site;Boleto;Não
42;e7b4dfc3-2f26-4806-9bff-db15c55f5fa9;10/05/2025;13/05/2025;Dignissimos;Cabelos;468.72;4;42.82;DF;App;Boleto;Sim
